,ZipCode,Issue Reported,Longitude,Status Date
6473,78712,Crash Service,-97.733511,03/10/2019 11:55:03 AM +0000
6495,78749,TRFC HAZD/ DEBRIS,-97.898679,03/10/2019 12:15:05 PM +0000
6513,78701,zSTALLED VEHICLE,-97.72816800000001,03/10/2019 12:55:04 PM +0000
6524,78712,Traffic Hazard,-97.732607,03/10/2019 01:30:06 PM +0000
6533,78728,Crash Service,-97.665578,03/10/2019 12:55:04 PM +0000
6545,78741,Crash Service,-97.69783000000001,03/10/2019 02:40:03 PM +0000
6546,78723,Crash Service,-97.64415600000001,03/10/2019 02:40:03 PM +0000
6563,78728,Crash Service,-97.704328,03/10/2019 02:05:04 PM +0000
6618,78712,COLLISION/PRIVATE PROPERTY,-97.73272,03/10/2019 02:30:05 PM +0000
6619,78741,zSTALLED VEHICLE,-97.781513,03/10/2019 02:55:03 PM +0000
6637,78701,Traffic Hazard,-97.79963000000001,03/10/2019 02:45:04 PM +0000
6646,78749,Traffic Hazard,-97.86078,03/10/2019 03:15:05 PM +0000
6676,78754,TRFC HAZD/ DEBRIS,-97.557699,03/10/2019 03:15:05 PM +0000
6690,78730,TRFC HAZD/ DEBRIS,-97.92824499999999,03/10/2019 03:40:04 PM +0000
6746,78751,Traffic Hazard,-97.68470400000001,03/10/2019 04:05:03 PM +0000
6747,78742,Traffic Hazard,-97.686826,03/10/2019 04:30:05 PM +0000
6799,78712,Traffic Hazard,-97.746586,03/10/2019 03:30:05 PM +0000
6819,78747,TRFC HAZD/ DEBRIS,-97.67283,03/10/2019 03:35:05 PM +0000
6878,78752,Traffic Hazard,-97.613107,03/10/2019 04:25:03 PM +0000
6919,78748,zSTALLED VEHICLE,-97.779525,03/10/2019 04:00:06 PM +0000
6920,78712,Traffic Hazard,-97.737571,03/10/2019 04:45:04 PM +0000
6921,78729,Traffic Hazard,-97.776495,03/10/2019 07:30:05 PM +0000
6922,78752,Traffic Hazard,-97.698252,03/10/2019 08:25:03 PM +0000
6985,78721,Crash Service,-97.626021,03/10/2019 05:25:04 PM +0000
6986,78742,Crash Service,-97.66301,03/10/2019 07:55:04 PM +0000
6987,78701,Crash Urgent,-97.757959,03/10/2019 08:20:05 PM +0000
7004,78752,Crash Urgent,-97.696602,03/10/2019 05:35:04 PM +0000
7005,78728,COLLISION,-97.68293,03/10/2019 08:10:04 PM +0000
7052,78728,Crash Service,-97.66485,03/10/2019 05:25:04 PM +0000
7053,78712,Traffic Hazard,-97.741667,03/10/2019 05:30:05 PM +0000
7054,78726,COLLISION WITH INJURY,-97.904795,03/10/2019 06:15:05 PM +0000
7055,78728,zSTALLED VEHICLE,-97.703582,03/10/2019 08:40:03 PM +0000
7068,78756,Traffic Hazard,-97.71887199999999,03/10/2019 05:30:05 PM +0000
7069,78752,Traffic Hazard,-97.64859200000001,03/10/2019 08:35:04 PM +0000
7070,78749,Crash Urgent,-97.895188,03/10/2019 08:55:03 PM +0000
7071,78748,Traffic Hazard,-97.8239,03/10/2019 09:00:06 PM +0000
7072,78701,zSTALLED VEHICLE,-97.766638,03/10/2019 09:10:03 PM +0000
7073,78734,COLLISION,-98.063804,03/10/2019 09:30:05 PM +0000
7074,78712,Crash Service,-97.70291999999999,03/10/2019 09:55:04 PM +0000
7075,78756,Crash Service,-97.755172,03/10/2019 10:40:04 PM +0000
7076,78712,Crash Urgent,-97.732607,03/11/2019 02:30:05 AM +0000
7077,78742,COLLISION,-97.609481,03/11/2019 02:45:03 AM +0000
7078,78728,COLLISION,-97.660884,03/11/2019 03:55:03 AM +0000
7079,78752,Crash Urgent,-97.68768399999999,03/11/2019 04:55:03 AM +0000
7080,78664,COLLISION,-97.486293,03/11/2019 09:40:05 AM +0000
7081,78712,Crash Urgent,-97.736346,03/11/2019 01:15:05 PM +0000
7121,78754,COLLISION,-97.530024,03/10/2019 05:25:04 PM +0000
7122,78703,Crash Urgent,-97.82949,03/10/2019 05:30:05 PM +0000
7123,78712,Crash Service,-97.738792,03/10/2019 10:10:03 PM +0000
7124,78742,Traffic Hazard,-97.64969,03/10/2019 10:20:03 PM +0000
7125,78729,Crash Urgent,-97.775413,03/10/2019 10:30:06 PM +0000
7126,78751,zSTALLED VEHICLE,-97.706085,03/11/2019 03:50:04 AM +0000
7127,78754,LOOSE LIVESTOCK,-97.568425,03/11/2019 08:45:04 AM +0000
7128,78757,zSTALLED VEHICLE,-97.72648199999999,03/11/2019 11:20:05 AM +0000
7285,78751,Crash Service,-97.660143,03/10/2019 05:40:04 PM +0000
7286,78712,Crash Urgent,-97.731522,03/10/2019 07:05:04 PM +0000
7287,78701,Crash Service,-97.721283,03/10/2019 07:25:04 PM +0000
7288,78722,Crash Urgent,-97.700161,03/10/2019 07:55:04 PM +0000
7289,78733,COLLISION,-97.858175,03/10/2019 09:30:05 PM +0000
7290,78701,Crash Service,-97.72284599999999,03/10/2019 10:15:03 PM +0000
7291,78728,Crash Urgent,-97.668654,03/11/2019 04:40:05 AM +0000
7292,78712,Crash Service,-97.740404,03/11/2019 09:30:05 AM +0000
7293,78741,Crash Urgent,-97.71194200000001,03/11/2019 11:30:06 AM +0000
7449,78701,Crash Service,-97.71393499999999,03/10/2019 06:10:03 PM +0000
7450,78701,Traffic Hazard,-97.79321800000001,03/10/2019 10:20:03 PM +0000
