,beer_receipts,liquor_receipts,total_receipts,wine_receipts,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,I-MF-Tot.Gallons,I-R-Tot.Gallons,MF-Tot.Gallons,R-Tot.Gallons,Score,index,zipcode,AUTO/ PED,BLOCKED DRIV/ HWY,BOAT ACCIDENT,COLLISION,COLLISION WITH INJURY,COLLISION/PRIVATE PROPERTY,COLLISN / FTSRA,COLLISN/ LVNG SCN,Crash Service,Crash Urgent,FLEET ACC/ FATAL,FLEET ACC/ INJURY,HIGH WATER,ICY ROADWAY,LOOSE LIVESTOCK,N / HZRD TRFC VIOL,TRAFFIC FATALITY,TRFC HAZD/ DEBRIS,Traffic Hazard,Traffic Impediment,VEHICLE FIRE,zSTALLED VEHICLE
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704400.0,0.0,707212200.0,95.0,51,78737,1.0,0.0,0.0,140.0,58.0,4.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,157.0,5.0,1.0,4.0,0.0
12,21991.0,12717.0,38575.0,3867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326500.0,96.0,52,78738,0.0,1.0,0.0,156.0,56.0,13.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,172.0,0.0,0.0,10.0,0.0
13,48355.0,44348.0,92874.0,171.0,40.0,30183.0,16.0,62.0,9.0,9.0,10.0,76.0,15.0,21.0,3.0,835.0,120200.0,0.6,18.0,28.0,11.0,40.0,39.0,86.0,76.0,100.0,93.0,45.0,28.0,58.0,80.0,668.0,43.0,203097400.0,2178200.0,6362005200.0,1507726300.0,93.0,54,78741,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1064.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1349.0,224.0,0.0,384.0
14,59110.0,47778.0,116446.0,9558.0,16.0,49243.0,7.0,40.0,11.0,7.0,6.0,33.0,8.0,7.0,2.0,990.0,166200.0,0.7,21.0,1.0,6.0,24.0,3.0,72.0,29.0,99.0,96.0,73.0,30.0,83.0,76.0,668.0,35.0,295497500.0,5660300.0,2626087900.0,6088409500.0,94.0,57,78745,1.0,3.0,0.0,106.0,22.0,4.0,0.0,28.0,1157.0,1644.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,1931.0,378.0,0.0,437.0
15,26468.0,67474.0,112937.0,18995.0,5.0,125327.0,10.0,8.0,6.0,4.0,7.0,1.0,4.0,0.0,0.0,1221.0,619900.0,0.1,12.0,0.0,4.0,8.0,0.0,48.0,1.0,94.0,6.0,32.0,32.0,80.0,14.0,786.0,29.0,60883600.0,35209800.0,1075893000.0,3390123500.0,95.0,58,78746,1.0,15.0,0.0,574.0,116.0,49.0,0.0,113.0,276.0,661.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,541.0,1162.0,106.0,8.0,110.0
16,18193.0,73519.0,99193.0,7481.0,9.0,65889.0,10.0,35.0,9.0,6.0,8.0,29.0,4.0,7.0,3.0,1095.0,185500.0,0.6,74.0,0.0,4.0,12.0,0.0,63.0,22.0,100.0,92.0,260.0,29.0,58.0,40.0,747.0,44.0,539115400.0,1991300.0,1572646500.0,5823210800.0,97.0,60,78748,0.0,1.0,0.0,98.0,32.0,4.0,0.0,22.0,668.0,802.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,92.0,766.0,215.0,2.0,141.0
17,1631.0,2483.0,4114.0,0.0,7.0,75958.0,16.0,16.0,9.0,6.0,6.0,19.0,2.0,0.0,0.0,1012.0,303100.0,0.3,32.0,4.0,1.0,15.0,5.0,70.0,15.0,99.0,51.0,104.0,20.0,64.0,21.0,747.0,33.0,110300000.0,1950000.0,1054812200.0,4714733700.0,94.0,62,78750,0.0,1.0,0.0,23.0,5.0,10.0,0.0,2.0,268.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,438.0,86.0,1.0,55.0
18,2971.0,13898.0,16869.0,0.0,26.0,38624.0,11.0,14.0,6.0,9.0,2.0,11.0,13.0,1.0,0.0,865.0,292200.0,0.4,7.0,0.0,9.0,38.0,2.0,68.0,10.0,97.0,42.0,23.0,38.0,97.0,98.0,550.0,40.0,54337300.0,6606100.0,1023147700.0,1320649200.0,93.0,63,78751,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,451.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,843.0,133.0,0.0,119.0
19,34946.0,87001.0,123436.0,1489.0,32.0,33271.0,19.0,57.0,11.0,9.0,8.0,43.0,20.0,7.0,2.0,752.0,153000.0,0.8,15.0,5.0,14.0,55.0,8.0,92.0,39.0,100.0,86.0,8.0,17.0,71.0,80.0,629.0,37.0,10982200.0,11000.0,1439789100.0,1024074200.0,90.0,64,78752,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,615.0,787.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1093.0,133.0,0.0,185.0
20,1774.0,1914.0,5123.0,1435.0,26.0,39593.0,20.0,60.0,10.0,9.0,16.0,78.0,14.0,17.0,4.0,826.0,134900.0,0.7,19.0,8.0,11.0,40.0,24.0,89.0,75.0,100.0,98.0,128.0,26.0,40.0,59.0,708.0,44.0,318448600.0,445700.0,4254141900.0,3431119400.0,91.0,65,78753,0.0,0.0,0.0,37.0,7.0,0.0,0.0,1.0,1657.0,2081.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,2264.0,356.0,2.0,420.0
21,0.0,0.0,6050.0,0.0,11.0,53274.0,36.0,32.0,8.0,9.0,7.0,70.0,4.0,9.0,5.0,969.0,167600.0,0.2,132.0,1.0,1.0,22.0,4.0,74.0,59.0,100.0,100.0,286.0,33.0,33.0,19.0,708.0,41.0,200681200.0,1448100.0,1387109200.0,1871689700.0,97.0,66,78754,0.0,5.0,0.0,85.0,41.0,13.0,0.0,30.0,286.0,383.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,67.0,465.0,94.0,4.0,59.0
22,3272.0,2485.0,6965.0,1208.0,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,26452800.0,3716600.0,1152431400.0,2915769300.0,90.0,68,78757,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,408.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,668.0,150.0,0.0,73.0
23,246248.0,393213.0,735694.0,96233.0,24.0,41792.0,22.0,46.0,9.0,10.0,10.0,71.0,11.0,9.0,2.0,898.0,144200.0,0.8,4.0,13.0,8.0,32.0,23.0,83.0,69.0,99.0,99.0,128.0,20.0,49.0,75.0,668.0,40.0,256356200.0,2834800.0,3866169800.0,3392197900.0,92.0,69,78758,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1108.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1516.0,317.0,0.0,282.0
24,6091.0,26012.0,91969.0,59866.0,7.0,65672.0,18.0,11.0,8.0,7.0,2.0,13.0,3.0,1.0,0.0,962.0,307800.0,0.2,1.0,2.0,2.0,18.0,3.0,75.0,13.0,99.0,45.0,60.0,7.0,60.0,28.0,629.0,40.0,105509200.0,7931600.0,3109939800.0,5713601700.0,93.0,70,78759,0.0,2.0,0.0,24.0,13.0,0.0,0.0,1.0,640.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1982.0,206.0,0.0,237.0
25,0.0,0.0,0.0,0.0,9.0,66096.0,16.0,20.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,1050.0,349900.0,0.0,118.0,0.0,0.0,8.0,0.0,70.0,0.0,99.0,17.0,375.0,20.0,55.0,2.0,786.0,40.0,336989300.0,2986800.0,988226800.0,1591135400.0,95.0,40,78726,0.0,0.0,0.0,140.0,39.0,2.0,0.0,10.0,229.0,308.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,75.0,273.0,65.0,1.0,12.0
26,0.0,0.0,0.0,0.0,38.0,35711.0,29.0,63.0,8.0,8.0,28.0,85.0,16.0,38.0,20.0,962.0,105700.0,1.5,48.0,28.0,15.0,22.0,42.0,78.0,84.0,100.0,96.0,208.0,37.0,46.0,21.0,786.0,40.0,35737100.0,2137700.0,1026888200.0,1648462000.0,91.0,38,78724,1.0,14.0,0.0,383.0,153.0,26.0,1.0,97.0,237.0,407.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,357.0,724.0,111.0,19.0,93.0
27,0.0,0.0,0.0,0.0,18.0,43957.0,12.0,67.0,10.0,15.0,23.0,0.0,11.0,1.0,8.0,1041.0,100600.0,0.4,34.0,0.0,7.0,24.0,0.0,63.0,0.0,99.0,0.0,101.0,74.0,21.0,16.0,865.0,42.0,150700.0,406400.0,326123200.0,1606647600.0,92.0,7,78617,1.0,9.0,0.0,618.0,233.0,17.0,0.0,114.0,191.0,322.0,0.0,3.0,0.0,5.0,360.0,0.0,2.0,408.0,332.0,46.0,19.0,56.0
28,0.0,0.0,0.0,0.0,3.0,93305.0,25.0,14.0,4.0,5.0,9.0,7.0,1.0,0.0,0.0,1018.0,243200.0,0.1,230.0,0.0,1.0,9.0,0.0,70.0,6.0,98.0,67.0,638.0,2.0,33.0,3.0,708.0,47.0,384886800.0,2198000.0,823907100.0,3009205600.0,95.0,33,78717,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,243.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,589.0,83.0,0.0,53.0
29,0.0,0.0,0.0,0.0,32.0,32131.0,36.0,52.0,17.0,16.0,14.0,61.0,26.0,47.0,10.0,870.0,121000.0,2.0,35.0,12.0,25.0,39.0,22.0,84.0,57.0,100.0,95.0,36.0,62.0,113.0,87.0,668.0,40.0,12641200.0,469100.0,375387600.0,1148995700.0,94.0,35,78721,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,336.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,418.0,143.0,0.0,83.0
30,0.0,0.0,0.0,0.0,11.0,65687.0,25.0,20.0,7.0,6.0,5.0,32.0,2.0,7.0,2.0,1050.0,198500.0,0.4,39.0,0.0,1.0,11.0,1.0,67.0,29.0,99.0,90.0,181.0,13.0,61.0,24.0,708.0,41.0,398200100.0,1005500.0,1749708400.0,3335579100.0,93.0,41,78727,1.0,0.0,0.0,101.0,36.0,1.0,0.0,15.0,357.0,567.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,47.0,779.0,128.0,0.0,152.0
31,0.0,0.0,0.0,0.0,14.0,47405.0,26.0,28.0,9.0,6.0,4.0,46.0,4.0,6.0,1.0,901.0,168600.0,0.0,24.0,0.0,2.0,24.0,1.0,83.0,35.0,99.0,100.0,302.0,16.0,30.0,28.0,668.0,40.0,135357100.0,250100.0,623649000.0,429509600.0,94.0,42,78728,2.0,22.0,0.0,581.0,153.0,73.0,0.0,169.0,54.0,103.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,435.0,231.0,7.0,25.0,12.0
32,0.0,0.0,0.0,0.0,4.0,119573.0,13.0,5.0,4.0,3.0,9.0,19.0,0.0,0.0,0.0,1106.0,570400.0,0.2,78.0,0.0,0.0,3.0,1.0,64.0,17.0,99.0,25.0,283.0,22.0,44.0,2.0,786.0,34.0,89682900.0,12697900.0,407199900.0,1767452400.0,96.0,44,78730,0.0,0.0,0.0,49.0,16.0,0.0,0.0,4.0,70.0,119.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,235.0,36.0,2.0,18.0
33,0.0,0.0,0.0,0.0,3.0,127726.0,13.0,9.0,3.0,5.0,15.0,0.0,0.0,0.0,0.0,1688.0,388600.0,0.0,239.0,0.0,0.0,0.0,0.0,26.0,0.0,80.0,15.0,1242.0,105.0,75.0,0.0,786.0,33.0,0.0,0.0,0.0,682000.0,96.0,46,78732,1.0,4.0,1.0,271.0,68.0,15.0,0.0,37.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,255.0,5.0,0.0,5.0,0.0
34,0.0,0.0,0.0,0.0,1.0,126525.0,14.0,15.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,2000.0,350500.0,0.0,108.0,0.0,0.0,0.0,0.0,8.0,0.0,71.0,11.0,46.0,0.0,72.0,8.0,786.0,34.0,2122000.0,18600.0,0.0,3838624500.0,99.0,53,78739,0.0,0.0,0.0,56.0,13.0,2.0,0.0,7.0,51.0,95.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,41.0,197.0,43.0,1.0,5.0
35,0.0,0.0,0.0,0.0,37.0,34076.0,4.0,70.0,7.0,11.0,18.0,50.0,40.0,0.0,3.0,639.0,54400.0,1.3,57.0,50.0,23.0,76.0,50.0,100.0,50.0,100.0,100.0,165.0,17.0,-37.0,3.0,747.0,43.0,2794000.0,0.0,23412000.0,59679300.0,94.0,55,78742,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,62.0,129.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,207.0,8.0,0.0,28.0
36,0.0,0.0,0.0,0.0,26.0,41056.0,9.0,77.0,8.0,9.0,23.0,93.0,7.0,24.0,8.0,946.0,108100.0,0.7,35.0,13.0,6.0,22.0,33.0,81.0,87.0,100.0,100.0,89.0,26.0,44.0,63.0,708.0,40.0,155979400.0,2323000.0,2241405100.0,4014640700.0,92.0,56,78744,0.0,2.0,0.0,141.0,43.0,6.0,0.0,28.0,929.0,1203.0,0.0,0.0,0.0,0.0,57.0,0.0,1.0,91.0,1413.0,284.0,6.0,258.0
37,0.0,0.0,0.0,0.0,6.0,80956.0,13.0,20.0,7.0,4.0,7.0,5.0,1.0,1.0,0.0,1150.0,233900.0,0.3,32.0,0.0,1.0,6.0,0.0,57.0,3.0,97.0,70.0,171.0,25.0,61.0,37.0,708.0,40.0,375817200.0,2263800.0,1337793200.0,5438465200.0,96.0,61,78749,1.0,0.0,0.0,68.0,11.0,20.0,0.0,27.0,371.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1084.0,142.0,6.0,93.0
38,0.0,0.0,0.0,0.0,9.0,59685.0,8.0,9.0,12.0,4.0,2.0,20.0,17.0,6.0,0.0,888.0,342300.0,0.6,8.0,2.0,13.0,34.0,3.0,76.0,19.0,99.0,37.0,-20.0,47.0,99.0,90.0,550.0,40.0,13247900.0,4781100.0,458742000.0,986151100.0,92.0,67,78756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,157.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,193.0,107.0,0.0,15.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74663700.0,0.0,117392600.0,0.0,93.0,4,78613,0.0,0.0,0.0,51.0,17.0,0.0,0.0,4.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,133.0,28.0,0.0,10.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6207000.0,4787800.0,6421300.0,164330000.0,95.0,19,78652,0.0,0.0,0.0,131.0,36.0,2.0,0.0,20.0,23.0,38.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,102.0,77.0,5.0,3.0,20.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335100.0,303300.0,14029500.0,120573500.0,96.0,20,78653,0.0,31.0,0.0,1205.0,333.0,42.0,0.0,228.0,85.0,184.0,0.0,3.0,0.0,0.0,728.0,1.0,2.0,950.0,421.0,50.0,27.0,13.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70584600.0,1277000.0,341399500.0,708231100.0,96.0,22,78660,3.0,21.0,0.0,748.0,323.0,43.0,0.0,195.0,190.0,235.0,0.0,0.0,0.0,1.0,40.0,0.0,3.0,490.0,236.0,28.0,31.0,15.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17616800.0,224515700.0,92.5,39,78725,0.0,12.0,0.0,287.0,112.0,3.0,0.0,79.0,83.0,156.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,208.0,244.0,22.0,8.0,41.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4277100.0,96.0,47,78733,1.0,1.0,0.0,68.0,24.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,114.0,5.0,2.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51280700.0,1398100.0,202266100.0,1154830200.0,94.0,50,78736,0.0,0.0,0.0,44.0,23.0,0.0,0.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,80.0,20.0,4.0,1.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63264400.0,2090900.0,601321400.0,2096205200.0,92.0,59,78747,0.0,1.0,0.0,134.0,49.0,1.0,0.0,27.0,118.0,253.0,0.0,0.0,0.0,1.0,112.0,0.0,1.0,93.0,331.0,40.0,2.0,47.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2,78610,0.0,1.0,0.0,160.0,44.0,3.0,0.0,30.0,10.0,24.0,0.0,0.0,0.0,1.0,157.0,0.0,0.0,162.0,25.0,1.0,8.0,6.0
